Index,Element,Density,a,b,c,d,e,f,g,h,,Note: ,These coefficients represent those for a 4-term exponential
0,Helium,4.00E+00,0.162162793,2.383124554,0.251998108,0.340721918,0.269128775,0.070369555,0.316710324,0.013272045,,,fit to the PIP as a function of distance perpendicular to the material 
1,Neon,4.00E+00,0.208224524,1.47633107,0.218702047,0.281586064,0.24871208,0.07682556,0.324361349,0.016357595,,,surface in um. The functional form is:
2,Fluorine,4.00E+00,0.198737684,1.621231425,0.201736238,0.300973327,0.275456705,0.076626374,0.324069373,0.015425029,,,PIP = a*exp(-b*distance) + c*numpy.exp(-d*distance) + e*numpy.exp(-f*distance) + g*exp(-h*distance)
3,Argon,4.00E+00,0.099693301,5.847567576,0.292720523,0.46207577,0.288745685,0.080683281,0.318840491,0.017051361,,,
4,Nitrogen,4.00E+00,0.167510577,1.925455284,0.230238687,0.364303899,0.277052744,0.076990354,0.325197992,0.015590265,,,Equations 8 and 9 in the paper allow transformation of these to derive the 
5,Krypton,4.00E+00,0.131749211,2.103249545,0.270126777,0.365371984,0.269295355,0.080305947,0.328828657,0.018701745,,,PIP for any arbitrary material.
6,Oxygen,4.00E+00,0.178125268,1.79768516,0.220278934,0.339089834,0.27107458,0.079568196,0.330521218,0.016070314,,,
7,Hydrogen,4.00E+00,0.141050031,2.969956311,0.239286716,0.54022874,0.277874508,0.131341601,0.341788745,0.026527463,,,
8,Chlorine,4.00E+00,0.243858048,1.211800494,0.208448028,0.230657939,0.227579596,0.07630024,0.320114328,0.017885491,,,
9,Xenon,4.00E+00,0.114889819,1.581047231,0.211709744,0.367169404,0.301679994,0.089965311,0.371720443,0.01988785,,,
10,Bromine,4.00E+00,0.154168404,2.011291929,0.22870782,0.3683913,0.282442995,0.08676127,0.334680781,0.019164549,,,
11,Carbon,4.00E+00,0.104498623,8.156634495,0.263182206,0.548731678,0.306810179,0.083505635,0.325508992,0.015132608,,,
12,Radon,4.00E+00,0.138394791,0.761354922,0.148773801,0.308714793,0.29608184,0.090183523,0.416749568,0.021000931,,,
13,Phosphorus,4.00E+00,0.156821533,2.05029054,0.248334829,0.38964901,0.275986139,0.082123842,0.318857499,0.017380713,,,
14,Iodine,4.00E+00,0.064359655,7.613480447,0.252590209,0.501315163,0.313850368,0.094595766,0.369199768,0.020014761,,,
15,Mercury,4.00E+00,0.134969053,0.953653201,0.132031699,0.313750641,0.312993186,0.095400001,0.420006062,0.021081497,,,
16,Sulfur,4.00E+00,0.184266179,1.893566185,0.241372312,0.32814538,0.257080185,0.08050948,0.317281324,0.018213902,,,
17,Arsenic,4.00E+00,0.199684502,1.350350712,0.220884378,0.283249114,0.25150555,0.078306751,0.32792557,0.018806669,,,
18,Selenium,4.00E+00,0.135425923,2.372363209,0.265144663,0.37963199,0.272907776,0.080375228,0.326521638,0.018499988,,,
19,Zinc,4.00E+00,0.13354245,1.960969216,0.225286415,0.467572817,0.308586784,0.092673797,0.332584351,0.019211394,,,
20,Beryllium,4.00E+00,0.19881685,1.329927804,0.253555691,0.242031633,0.229172293,0.057541342,0.318455166,0.012600242,,,
21,Astatine,4.00E+00,0.129165456,0.814303013,0.17564142,0.2833372,0.277696532,0.087712114,0.417496592,0.021750663,,,
22,Gold,4.00E+00,0.124184385,0.878200133,0.172999161,0.299140031,0.29226752,0.086922622,0.410548934,0.020959057,,,
23,Tellurium,4.00E+00,0.110955338,1.532858716,0.250775493,0.358530651,0.281869666,0.079707876,0.356399503,0.019173564,,,
24,Cadmium,4.00E+00,0.061073875,8.510449783,0.296431328,0.4761591,0.290648977,0.085951819,0.35184582,0.019727085,,,
25,Iridium,4.00E+00,0.030902896,8.679802708,0.251815147,0.438273904,0.310244681,0.087875768,0.407037276,0.020801549,,,
26,Platinum,4.00E+00,0.132057869,1.012897427,0.180010402,0.293122884,0.281618619,0.085874861,0.40631311,0.020812139,,,
27,Antimony,4.00E+00,0.119881085,1.933935682,0.243019748,0.342796424,0.275854415,0.084849957,0.361244752,0.019709814,,,
